,Epoch,MSE,Learning rate
0,0,0.06463116188075577,1
1,1,0.017748598871966365,1
2,2,0.016845611357664474,1
3,3,0.01673810594241883,1
4,4,0.015715152791655456,1
5,5,0.016865720267819823,1
6,6,0.015739079575497108,1
7,7,0.017471156551762193,1
8,8,0.014740296149412628,1
9,9,0.01455088327486129,1
10,10,0.013084552849673468,1
11,11,0.00990660951136932,1
12,12,0.004322028401132184,1
13,13,0.002597391271398815,1
14,14,0.002313542735980457,1
15,15,0.0023650351497650026,1
16,16,0.0021385936719197475,1
17,17,0.002281490031374069,1
18,18,0.0025566925393936575,1
19,19,0.0017223120539174338,1
20,20,0.002244858145351201,1
21,21,0.0022947367048845244,1
22,22,0.0015728113400849102,1
23,23,0.002298789021948383,1
24,24,0.0018677768189666153,1
25,25,0.0018765994821881235,1
26,26,0.0017737427455388375,1
27,27,0.0022901277996782883,1
28,28,0.001889008407473381,1
29,29,0.0018104315658107584,1
