,Epoch,MSE,Learning rate
0,0,3.055694213548264,0.009440766100280194
1,1,0.24251937740421914,0.009440766100280194
2,2,0.08939495665783231,0.009440766100280194
3,3,0.05783705364961129,0.009440766100280194
4,4,0.032937958376941745,0.009440766100280194
5,5,0.039671735112349706,0.009440766100280194
6,6,0.04335893038660288,0.009440766100280194
7,7,0.02808082667360832,0.009440766100280194
8,8,0.02272931251723271,0.009440766100280194
9,9,0.02300962300172874,0.009440766100280194
10,10,0.02359893489870932,0.009440766100280194
11,11,0.030422892336818306,0.009440766100280194
12,12,0.02682896831689717,0.009440766100280194
13,13,0.02804332742975517,0.009440766100280194
14,14,0.02591605368372682,0.009440766100280194
15,15,0.0237880688789603,0.009440766100280194
16,16,0.02431553937252853,0.009440766100280194
17,17,0.02138976100832224,0.009440766100280194
18,18,0.02148308367891745,0.009440766100280194
19,19,0.02160646269315636,0.009440766100280194
20,20,0.025587249789145085,0.009440766100280194
21,21,0.021642486722051324,0.009440766100280194
22,22,0.0206761234016581,0.009440766100280194
23,23,0.02523497385638101,0.009440766100280194
24,24,0.036072919157321574,0.009440766100280194
25,25,0.020799101112628136,0.009440766100280194
26,26,0.01849959720555064,0.009440766100280194
27,27,0.024279213111315454,0.009440766100280194
28,28,0.02030262250646755,0.009440766100280194
29,29,0.018060110243303434,0.009440766100280194
30,0,1.598990617634414,0.024921839724661325
31,1,0.6704063523899425,0.024921839724661325
32,2,0.6704176439867391,0.024921839724661325
33,3,0.6704207937438766,0.024921839724661325
34,4,0.6704224688666207,0.024921839724661325
35,5,0.6704235301389323,0.024921839724661325
36,6,0.6704242593282229,0.024921839724661325
37,7,0.6704247926736807,0.024921839724661325
38,8,0.6704251998430723,0.024921839724661325
39,9,0.6704255125739358,0.024921839724661325
40,10,0.6704257718928448,0.024921839724661325
41,11,0.6704259793479721,0.024921839724661325
42,12,0.6704261519692161,0.024921839724661325
43,13,0.6704262944010945,0.024921839724661325
44,14,0.6704264190289881,0.024921839724661325
45,15,0.6704265304974147,0.024921839724661325
46,16,0.6704266187432525,0.024921839724661325
47,17,0.6704267000223135,0.024921839724661325
48,18,0.6704267689159938,0.024921839724661325
49,19,0.67042683239107,0.024921839724661325
50,20,0.670426881932593,0.024921839724661325
51,21,0.6704269314741159,0.024921839724661325
52,22,0.6704269748229486,0.024921839724661325
53,23,0.6704270158495221,0.024921839724661325
54,24,0.6704270499093192,0.024921839724661325
55,25,0.6704270839691162,0.024921839724661325
56,26,0.6704271087398777,0.024921839724661325
57,27,0.670427135832898,0.024921839724661325
58,28,0.6704271590554869,0.024921839724661325
59,29,0.6704271753112991,0.024921839724661325
60,0,0.2894946194991663,0.0036880935690707124
61,1,0.03146987080622416,0.0036880935690707124
62,2,0.03147205173388704,0.0036880935690707124
63,3,0.024818724480929314,0.0036880935690707124
64,4,0.023967665281485428,0.0036880935690707124
65,5,0.020101438796558936,0.0036880935690707124
66,6,0.02444945579370508,0.0036880935690707124
67,7,0.02236752181809831,0.0036880935690707124
68,8,0.02273777543337314,0.0036880935690707124
69,9,0.01921139093865822,0.0036880935690707124
70,10,0.017007709553392678,0.0036880935690707124
71,11,0.019825483128041416,0.0036880935690707124
72,12,0.017478102491563792,0.0036880935690707124
73,13,0.018724854660595393,0.0036880935690707124
74,14,0.020165067492657666,0.0036880935690707124
75,15,0.01689924079586159,0.0036880935690707124
76,16,0.016632662868344937,0.0036880935690707124
77,17,0.019446857334054136,0.0036880935690707124
78,18,0.014850369315933098,0.0036880935690707124
79,19,0.020110744329822527,0.0036880935690707124
80,20,0.023406997189990113,0.0036880935690707124
81,21,0.017272683404773087,0.0036880935690707124
82,22,0.01968650896005429,0.0036880935690707124
83,23,0.016261387713156737,0.0036880935690707124
