,Epoch,MSE,Learning rate
0,0,0.39361539544140706,1
1,1,0.21735247302433994,1
2,2,0.17972533042985397,1
3,3,0.16235059812726055,1
4,4,0.15174314491145435,1
5,5,0.14552918638362258,1
6,6,0.13878819569334633,1
7,7,0.06859848812436227,1
8,8,0.024886900076230407,1
9,9,0.022440684494585347,1
10,10,0.020909124238179904,1
11,11,0.020709650647315028,1
12,12,0.02061164130258267,1
13,13,0.019345409535520452,1
14,14,0.019759043408023407,1
15,15,0.019548953790408483,1
16,16,0.019080341941501457,1
17,17,0.019192508830246133,1
18,18,0.019518949082846463,1
19,19,0.01877514451272694,1
20,20,0.018453594490878102,1
21,21,0.018162063130208093,1
22,22,0.017760260473387163,1
23,23,0.01744687476016001,1
24,24,0.01723677792479513,1
25,25,0.017073334459039826,1
26,26,0.017241581533959167,1
27,27,0.01689880118861825,1
28,28,0.016914176795685083,1
29,29,0.016408326455437747,1
30,30,0.016042715798277162,1
31,31,0.01580883012454743,1
32,32,0.015523066525691052,1
33,33,0.014918339488356084,1
34,34,0.014553380552793807,1
35,35,0.014279671195612029,1
36,36,0.013987951385254254,1
37,37,0.0138001550632132,1
38,38,0.013114323343348796,1
39,39,0.013092682001249651,1
40,40,0.012496506082481842,1
41,41,0.012389682356428478,1
42,42,0.011958114236028345,1
43,43,0.01192039690652221,1
44,44,0.011788112561783342,1
45,45,0.011499966717073236,1
46,46,0.011295685687743615,1
47,47,0.01127222154697892,1
48,48,0.011026783591540927,1
49,49,0.010846893528293147,1
50,50,0.010684625217958247,1
51,51,0.010508667075525602,1
52,52,0.010502663107023986,1
53,53,0.010273787899126039,1
54,54,0.010134765921259819,1
55,55,0.01004665472056167,1
56,56,0.009829717314206675,1
57,57,0.009659486574685721,1
58,58,0.009706091779841447,1
59,59,0.009442659592080373,1
60,60,0.009270334759437036,1
61,61,0.009185004448823508,1
62,62,0.009183898173104667,1
63,63,0.009019195792059124,1
64,64,0.008896091346987753,1
65,65,0.008893554144706882,1
66,66,0.008788177751187906,1
67,67,0.008682458173888201,1
68,68,0.008614085545022895,1
69,69,0.007719281406263958,1
70,70,0.006379264506099165,1
71,71,0.005942955473819595,1
72,72,0.005747843273728323,1
73,73,0.005558487671984695,1
74,74,0.005363335950800111,1
75,75,0.005372040772898367,1
76,76,0.005132007875411054,1
77,77,0.005070722750178156,1
78,78,0.004935557566121312,1
79,79,0.004862760821048201,1
80,80,0.004611778560144155,1
81,81,0.004539564098746776,1
82,82,0.004424277114773505,1
83,83,0.004388345658328751,1
84,84,0.004313505143041677,1
85,85,0.004201072037742916,1
86,86,0.004112562584045694,1
87,87,0.004041975537280659,1
88,88,0.003932601085207502,1
89,89,0.003818469026629798,1
90,90,0.0037319475038694676,1
91,91,0.00367393751808091,1
92,92,0.0035482212236975547,1
93,93,0.003473115325848129,1
94,94,0.0033709840428229176,1
95,95,0.003294375779958381,1
96,96,0.0032324299868005404,1
97,97,0.0030926276586633024,1
98,98,0.002989098288454726,1
99,99,0.0029020424856857747,1
